date,symbol,index_name,open,high,low,close,volume
2016-04-20,^DJI,DowJones,18059.490234375,18167.630859375,18031.2109375,18096.26953125,100210000
2016-04-20,^FCHI,CAC40,4546.35009765625,4596.330078125,4538.43017578125,4591.919921875,115806900
2016-04-20,^FTSE,FTSE100,6405.39990234375,6421.89990234375,6367.39990234375,6410.2998046875,814753100
2016-04-20,^GDAXI,DAX,10312.6396484375,10440.1298828125,10304.1396484375,10421.2900390625,96317900
2016-04-20,^GSPC,SP500,2101.52001953125,2111.050048828125,2096.320068359375,2102.39990234375,4184880000
2016-04-20,^HSI,HangSeng,21452.8203125,21452.8203125,21103.33984375,21236.310546875,1716700000
2016-04-20,^IXIC,NASDAQ,4941.990234375,4969.31982421875,4928.2900390625,4948.1298828125,1781340000
2016-04-20,^N225,Nikkei225,17053.830078125,17099.359375,16870.73046875,16906.5390625,143900000
2016-04-20,^SSMI,SMI,8138.0,8187.97021484375,8108.419921875,8186.97021484375,60032400
2016-04-20,^STOXX50E,EuroStoxx50,3111.06005859375,3147.18994140625,3095.6298828125,3142.52001953125,53194500
2016-04-21,^DJI,DowJones,18092.83984375,18107.2890625,17963.890625,17982.51953125,102720000
2016-04-21,^FCHI,CAC40,4607.68994140625,4607.68994140625,4551.330078125,4582.830078125,124963900
2016-04-21,^FTSE,FTSE100,6410.2998046875,6427.2998046875,6352.89990234375,6381.39990234375,831612200
2016-04-21,^GDAXI,DAX,10456.990234375,10474.3798828125,10341.9697265625,10435.73046875,101414400
2016-04-21,^GSPC,SP500,2102.090087890625,2103.780029296875,2088.52001953125,2091.47998046875,4175290000
2016-04-21,^HSI,HangSeng,21406.400390625,21634.740234375,21331.58984375,21622.25,1709100000
2016-04-21,^IXIC,NASDAQ,4949.1201171875,4966.60986328125,4932.64013671875,4945.89013671875,1758190000
2016-04-21,^N225,Nikkei225,17187.26953125,17381.69921875,17144.529296875,17363.619140625,165900000
2016-04-21,^SSMI,SMI,8208.5498046875,8210.9296875,8080.89990234375,8159.669921875,67686300
2016-04-21,^STOXX50E,EuroStoxx50,3146.489990234375,3156.860107421875,3124.489990234375,3151.68994140625,62039000
2016-04-22,^DJI,DowJones,17985.05078125,18026.849609375,17909.890625,18003.75,134120000
2016-04-22,^FCHI,CAC40,4578.81982421875,4580.52001953125,4553.58984375,4569.66015625,100028400
2016-04-22,^FTSE,FTSE100,6381.39990234375,6381.60009765625,6289.2998046875,6310.39990234375,675930800
2016-04-22,^GDAXI,DAX,10377.2197265625,10422.8603515625,10324.830078125,10373.490234375,83529500
2016-04-22,^GSPC,SP500,2091.489990234375,2094.320068359375,2081.199951171875,2091.580078125,3790580000
2016-04-22,^HSI,HangSeng,21448.150390625,21495.7890625,21358.529296875,21467.0390625,1282700000
2016-04-22,^IXIC,NASDAQ,4898.240234375,4921.66015625,4872.02001953125,4906.22998046875,2018930000
2016-04-22,^N225,Nikkei225,17220.470703125,17572.490234375,17192.390625,17572.490234375,228300000
2016-04-22,^SSMI,SMI,8135.52978515625,8135.7001953125,8096.18017578125,8109.43994140625,61086100
2016-04-22,^STOXX50E,EuroStoxx50,3151.56005859375,3153.31005859375,3127.820068359375,3141.1201171875,45832800
2016-04-25,^DJI,DowJones,17990.939453125,17990.939453125,17855.55078125,17977.240234375,83770000
2016-04-25,^FCHI,CAC40,4561.919921875,4574.4599609375,4522.22998046875,4546.1201171875,87927900
2016-04-25,^FTSE,FTSE100,6310.39990234375,6324.60009765625,6249.2998046875,6260.89990234375,688678400
2016-04-25,^GDAXI,DAX,10379.16015625,10399.2998046875,10233.419921875,10294.349609375,75159700
2016-04-25,^GSPC,SP500,2089.3701171875,2089.3701171875,2077.52001953125,2087.7900390625,3319740000
2016-04-25,^HSI,HangSeng,21408.560546875,21430.5703125,21254.4609375,21304.439453125,1200000000
2016-04-25,^IXIC,NASDAQ,4891.47998046875,4904.8701171875,4878.3701171875,4895.7900390625,1582270000
2016-04-25,^N225,Nikkei225,17613.560546875,17613.560546875,17403.869140625,17439.30078125,171600000
2016-04-25,^SSMI,SMI,8122.509765625,8140.39990234375,8046.27001953125,8079.89013671875,48121700
2016-04-25,^STOXX50E,EuroStoxx50,3141.570068359375,3146.090087890625,3103.110107421875,3117.6201171875,46662300
2016-04-26,^DJI,DowJones,17987.380859375,18043.76953125,17934.169921875,17990.3203125,92570000
2016-04-26,^FCHI,CAC40,4557.0,4579.1201171875,4515.39990234375,4533.18017578125,100430500
2016-04-26,^FTSE,FTSE100,6260.89990234375,6297.89990234375,6260.89990234375,6284.5,776825800
2016-04-26,^GDAXI,DAX,10359.76953125,10385.23046875,10213.5498046875,10259.58984375,79903800
2016-04-26,^GSPC,SP500,2089.840087890625,2096.8701171875,2085.800048828125,2091.699951171875,3557190000
2016-04-26,^HSI,HangSeng,21380.01953125,21419.919921875,21080.880859375,21407.26953125,1346800000
2016-04-26,^IXIC,NASDAQ,4903.81005859375,4915.0,4875.419921875,4888.27978515625,1825020000
2016-04-26,^N225,Nikkei225,17358.560546875,17426.01953125,17200.5,17353.279296875,161600000
2016-04-26,^SSMI,SMI,8119.8798828125,8132.60986328125,8062.240234375,8077.18017578125,53119500
2016-04-26,^STOXX50E,EuroStoxx50,3119.93994140625,3148.43994140625,3108.8798828125,3121.2900390625,51568100
2016-04-27,^DJI,DowJones,17996.140625,18084.66015625,17920.259765625,18041.55078125,109090000
2016-04-27,^FCHI,CAC40,4534.990234375,4564.7001953125,4525.7900390625,4559.39990234375,106492200
2016-04-27,^FTSE,FTSE100,6284.5,6319.89990234375,6255.2001953125,6319.89990234375,822361600
2016-04-27,^GDAXI,DAX,10283.099609375,10323.25,10220.5703125,10299.830078125,99071900
2016-04-27,^GSPC,SP500,2092.330078125,2099.889892578125,2082.31005859375,2095.14990234375,4100110000
2016-04-27,^HSI,HangSeng,21372.330078125,21442.509765625,21277.0390625,21361.599609375,1247200000
2016-04-27,^IXIC,NASDAQ,4855.3798828125,4872.91015625,4826.3798828125,4863.14013671875,1938780000
2016-04-27,^N225,Nikkei225,17369.6796875,17417.5390625,17230.23046875,17290.490234375,140900000
2016-04-27,^SSMI,SMI,8087.91015625,8108.41015625,8056.81982421875,8096.759765625,44389000
2016-04-27,^STOXX50E,EuroStoxx50,3121.4599609375,3133.610107421875,3109.110107421875,3130.429931640625,49800300
2016-04-28,^DJI,DowJones,18023.880859375,18035.73046875,17796.55078125,17830.759765625,100920000
2016-04-28,^FCHI,CAC40,4520.25,4557.35986328125,4482.3701171875,4557.35986328125,111361900
2016-04-28,^FTSE,FTSE100,6319.89990234375,6322.39990234375,6224.5,6322.39990234375,861757000
2016-04-28,^GDAXI,DAX,10222.1103515625,10331.9296875,10125.51953125,10321.150390625,93064300
2016-04-28,^GSPC,SP500,2090.929931640625,2099.300048828125,2071.6201171875,2075.81005859375,4309840000
2016-04-28,^HSI,HangSeng,21488.9609375,21654.0703125,21255.419921875,21388.029296875,1684200000
2016-04-28,^IXIC,NASDAQ,4857.60009765625,4889.16015625,4796.31982421875,4805.2900390625,2161400000
2016-04-28,^N225,Nikkei225,17438.990234375,17572.26953125,16652.740234375,16666.05078125,233100000
2016-04-28,^SSMI,SMI,8052.9599609375,8102.31005859375,7981.0400390625,8099.419921875,45963300
2016-04-28,^STOXX50E,EuroStoxx50,3117.320068359375,3126.39990234375,3067.610107421875,3125.429931640625,60157900
2016-04-29,^DJI,DowJones,17813.08984375,17814.830078125,17651.98046875,17773.640625,136670000
2016-04-29,^FCHI,CAC40,4500.43017578125,4508.830078125,4428.58984375,4428.9599609375,128212700
2016-04-29,^FTSE,FTSE100,6322.39990234375,6322.39990234375,6241.89990234375,6241.89990234375,865553800
2016-04-29,^GDAXI,DAX,10235.4697265625,10252.080078125,10038.9697265625,10038.9697265625,112470200
2016-04-29,^GSPC,SP500,2071.820068359375,2073.85009765625,2052.280029296875,2065.300048828125,4704720000
2016-04-29,^HSI,HangSeng,21215.19921875,21235.390625,21023.76953125,21067.05078125,1603100000
2016-04-29,^IXIC,NASDAQ,4805.7900390625,4807.89013671875,4740.83984375,4775.35986328125,2376460000
2016-04-29,^SSMI,SMI,8025.83984375,8025.83984375,7938.8701171875,7960.85009765625,64206000
2016-04-29,^STOXX50E,EuroStoxx50,3106.169921875,3106.169921875,3028.2099609375,3028.2099609375,66676200
2016-05-02,^DJI,DowJones,17783.779296875,17912.349609375,17773.7109375,17891.16015625,80100000
2016-05-02,^FCHI,CAC40,4455.759765625,4458.740234375,4429.47021484375,4442.75,63246300
2016-05-02,^GDAXI,DAX,10091.169921875,10153.900390625,10066.33984375,10123.26953125,62290300
2016-05-02,^GSPC,SP500,2067.169921875,2083.419921875,2066.110107421875,2081.429931640625,3841110000
2016-05-02,^IXIC,NASDAQ,4786.5498046875,4821.56982421875,4768.27978515625,4817.58984375,1880460000
2016-05-02,^N225,Nikkei225,16357.099609375,16357.099609375,15975.4697265625,16147.3798828125,179900000
